Aargauer Gold-Hahnenfuß	Ranunculus argoviensis
blutendes Herz	Homalanthus populifolius
Blütenkirsche	Prunus serrulata
Bluthirse	Digitaria sanguinalis
Bluthirse	Digitaria sanguinalis (L.) Scop.
Bluthirse	Digitaria sanguinalis aggr.
Blutrotblühender Storchenschnabel	Geranium sanguineum
Blutrote Engelstrompete	Brugmansia sanguinea
Blutrote Fingerhirse	Digitaria sanguinalis
Blutrote Fingerhirse	Digitaria sanguinalis (L.) Scop.
Blutrote Fingerhirse	Digitaria sanguinalis subsp. sanguinalis
Blutrote Fingerwurz	Dactylorhiza cruenta
Blutrote Fingerwurz	Dactylorhiza cruenta (O. F. Müll.) Soó
Blutrote Passionsblume	Passiflora sanguinolenta
Blutrote Sommerwurz	Orobanche gracilis
Blutrote Sommerwurz	Orobanche gracilis Sm.
blutrote Zinerarie	Pericallis cruenta
Blutroter Bastard-Amarant	Amaranthus cruentus
Blutroter Bastard-Amarant	Amaranthus cruentus L.
blutroter Hartriegel	Cornus sanguinea
Blutroter Hartriegel	Cornus sanguinea L.
Blutroter Hartriegel	Cornus sanguinea L. subsp. sanguinea
Blutroter Hartriegel	Cornus sanguinea subsp. sanguinea
Blutroter Löwenzahn	Taraxacum haematicum
Blutroter Löwenzahn	Taraxacum haematicum G. E. Haglund ex H. Øllg. & H. Wittzell
Blutroter Storchschnabel	Geranium sanguineum
Blutroter Storchschnabel	Geranium sanguineum L.
Blutrotes Fingerknabenkraut	Dactylorhiza cruenta
Blutrotes Knabenkraut	Dactylorhiza cruenta
Blutrotes Knabenkraut	Dactylorhiza cruenta (O. F. Müll.) Soó
Blutspindelstrauch	Euonymus sanguineus
Blutständel	Ludisia discolor
Blutstorchschnabel	Geranium sanguineum
Blutweiderich	Lythrum
Blutweiderich	Lythrum salicaria
Blutweiderich	Lythrum salicaria L.
Blutwurz	Potentilla erecta
Blutwurz	Potentilla erecta (L.) Raeusch.
Blutwurz	Sanguinaria canadensis
Blutwurzelgewächse	Haemodoraceae
Blytts Habichtskraut	Hieracium blyttianum
Bobaum	Ficus religiosa
Boccones Habichtskraut	Hieracium bocconei
Boccones Habichtskraut	Hieracium bocconei Griseb.
Boccones Habichtskraut	Hieracium bocconei subsp. bocconei
Bock-Gänsefuss	Chenopodium hircinum
Bock-Gänsefuss	Chenopodium hircinum Schrad.
Bock-Gänsefuss	Chenopodium hircinum Schrader
Bock-Steinbrech	Saxifraga hirculus
Bock-Steinbrech	Saxifraga hirculus L.
Bocks-Gänsefuss	Chenopodium hircinum
Bocks-Gänsefuß	Chenopodium hircinum
Bocks-Gänsefuss	Chenopodium hircinum Schrad.
Bocks-Hauhechel	Ononis arvensis
Bocks-Hauhechel	Ononis arvensis L.
Bocks-Johanniskraut	Hypericum hircinum
Bocks-Johanniskraut	Hypericum hircinum L.
Bocks-Riemenzunge	Himantoglossum hircinum
Bocks-Riemenzunge	Himantoglossum hircinum (L.) Spreng.
Bocksbart	Tragopogon
Bocksbart	Tragopogon dubius
Bocksbart	Tragopogon pratensis
Bocksbart-Löwenzahn	Taraxacum tragopogon
Bocksdorn	Lycium
Bocksdorn	Lycium barbarum
Bocksdorn	Lycium barbarum L.
Bocksdorn	Lycium chinense
Bocksdornartiger Kreuzdorn	Rhamnus lycioides
Bockshauhechel	Ononis arvensis
Bockshauhechel	Ononis arvensis L.
Bockshorn-Sternkaktus	Astrophytum capricorne
Bockshornklee	Trigonella foenum-graecum
Bocksriemenzunge	Himantoglossum hircinum
Bocksriemenzunge	Himantoglossum hircinum (L.) Spreng.
Bodden-Binse	Juncus gerardi
Bodden-Binse	Juncus gerardii
Bodendeckerrosen	Rosa
Bodenfrüchtiger Klee	Trifolium subterraneum
Bodenfrüchtiger Klee	Trifolium subterraneum L.
Bodensee-Rasenschmiele	Deschampsia littoralis
Bodensee-Steinbrech	Saxifraga oppositifolia
Bodensee-Steinbrech	Saxifraga oppositifolia subsp. amphibia
Bodensee-Steinbrech	Saxifraga oppositifolia subsp. amphibia (Sünd.) Braun-Blanq.
Bodensee-Vergissmeinnicht	Myosotis rehsteineri
Bodensee-Vergißmeinnicht	Myosotis rehsteineri
Bodensee-Vergissmeinnicht	Myosotis rehsteineri Wartm.
Bodensee-Vergißmeinnicht	Myosotis rehsteineri Wartm.
Bodenseesteinbrech	Saxifraga oppositifolia
Bodenseesteinbrech	Saxifraga oppositifolia subsp. amphibia (Sünd.) Braun-Blanq.
Bodenseevergißmeinnicht	Myosotis rehsteineri
Bodenseevergißmeinnicht	Myosotis rehsteineri Wartm.
Bodnant-Schneeball	Viburnum x bodnantense
Boehmers Lieschgras	Phleum phleoides
Boehmers Lieschgras	Phleum phleoides (L.) H. Karst.
Boekmans Löwenzahn	Taraxacum boekmanii
Boekmans Löwenzahn	Taraxacum boekmanii Borgvall
Bogen-Flieder	Syringa reflexa
Bogen-Liebesgras	Eragrostis trichodes
Bogen-Zwergmispel	Cotoneaster conspicuus
Bogenblütiges Läusekraut	Pedicularis gyroflexa
Bogenblütiges Läusekraut	Pedicularis gyroflexa Vill.
Bogenhanf	Sansevieria trifasciata
bogige Kentiapalme	Howea belmoreana
Böhmische Segge	Carex bohemica
Böhmische Segge	Carex bohemica Schreb.
Böhmische Sommerwurz	Orobanche bohemica
Böhmische Sommerwurz	Orobanche bohemica ?elak.
Böhmische Sommerwurz	Orobanche purpurea
Böhmische Sommerwurz	Orobanche purpurea var. bohemica
Böhmischer Felsen-Gelbstern	Gagea bohemica
Böhmischer Felsen-Gelbstern	Gagea bohemica subsp. bohemica
Böhmischer Kranzenzian	Gentianella bohemica
Böhmischer Storchschnabel	Geranium bohemicum
Böhmischer Storchschnabel	Geranium bohemicum L.
Böhmischer Würger	Orobanche bohemica
Böhmischer Würger	Orobanche bohemica ?elak.
Bohne	Lablab purpureus
Bohne	Lablab purpureus subsp. purpureus
Bohne	Vicia faba
Bohne	Vicia faba var. faba
Bohnenähnliches Jochblatt	Zygophyllum fabago
Bohnenkraut	Satureja hortensis
Bohnenkraut	Satureja hortensis L.
Bokharaklee	Melilotus albus
Bokukabambale	Alstonia congensis
Boldo	Peumus boldus
Bolivianischer Kokastrauch	Erythroxylum coca
Bolobolobaum	Clappertonia ficifolia
Bologneser Glockenblume	Campanula bononiensis
Bologneser Glockenblume	Campanula bononiensis L.
Boppard-Schleifenblume	Iberis intermedia
Boppard-Schleifenblume	Iberis intermedia subsp. boppardensis
Boppard-Schleifenblume	Iberis linifolia
Boppard-Schleifenblume	Iberis linifolia subsp. boppardensis
Boppard-Schleifenblume	Iberis linifolia subsp. boppardensis (Jord.) Korneck
Bopparder Schleifenblume	Iberis linifolia
Bopparder Schleifenblume	Iberis linifolia subsp. boppardensis
Boppardschleifenblume	Iberis linifolia
Boppardschleifenblume	Iberis linifolia subsp. boppardensis (Jord.) Korneck
Boraginaceae	Boretschgewächse
Borassuspalme	Borassus flabellifer
Borassuspalme	Borassus flabellifer L.
Boretsch	Borago officinalis
Boretsch	Borago officinalis L.
Boretsch	Borago pygmaea
Boretschgewächse	Boraginaceae
Borgvalls Löwenzahn	Taraxacum borgvallii
Borgvalls Löwenzahn	Taraxacum borgvallii Dahlst. ex G. E. Haglund
Borojó	Borojoa patinoi
Boronia	Boronia megastigma
Borrers Wurmfarn	Dryopteris affinis
Borrers Wurmfarn	Dryopteris affinis subsp. borreri (Newman) Fraser-Jenk.
Borretsch	Borago officinalis
Borretsch	Borago officinalis L.
Borretschgewächse	Boraginaceae
Borsstblättriges Habichtskraut	Hieracium ×
Borsstblättriges Habichtskraut	Hieracium × setifolium
Borstblatt-Schmiele	Deschampsia setacea
Borstblättriges Habichtskraut	Hieracium ×
Borstblättriges Habichtskraut	Hieracium × setifolium
Borsten-Fichte	Picea asperata
Borsten-Glockenblume	Campanula cervicaria
Borsten-Glockenblume	Campanula cervicaria L.
Borsten-Miere	Minuartia setacea
Borsten-Pippau	Crepis setosa
Borsten-Pippau	Crepis setosa Haller f.
Borstenblättrige Miere	Minuartia setacea
Borstenblättrige Miere	Minuartia setacea (Thuill.) Hayek
Borstenblättrige Schafgarbe	Achillea setacea
Borstenblättrige Schafgarbe	Achillea setacea Waldst. & Kit.
Borstenhaariges Habichtskraut	Hieracium euchaetium
Borstenhaariges Knopfkraut	Galinsoga ciliata
Borstenhaariges Knopfkraut	Galinsoga ciliata (Raf.) S. F. Blake
Borstenhirse	Setaria
Borstenhirse	Setaria italica
Borstenhirse	Setaria italica subsp. viridis
Borstenpippau	Crepis setosa
Borstenpippau	Crepis setosa Haller f.
Borstgras	Nardus
Borstgras	Nardus stricta
Borstgras	Nardus stricta L.
borstige Fingeraralie	Eleutherococcus senticosus
Borstige Glockenblume	Campanula cervicaria
Borstige Glockenblume	Campanula cervicaria L.
Borstige Hühnerhirse	Echinochloa muricata
Borstige Hühnerhirse	Echinochloa muricata (P. Beauv.) Fernald
borstige Kohlerie	Kohleria hirsuta
borstige Kohlerie	Kohleria hirsuta var. hirsuta
Borstige Moorbinse	Isolepis setacea
Borstige Moorbinse	Isolepis setacea (L.) R. Br.
Borstige Robinie	Robinia hispida
Borstige Schuppensimse	Isolepis setacea
Borstige Schwertlilie	Iris setosa
Borstige Taigawurzel	Eleutherococcus senticosus
Borstige Weißwurz	Polygonatum latifolium
Borstiger Eibisch	Althaea hirsuta
Borstiger Eibisch	Althaea hirsuta L.
Borstiger Flügelstorax	Pterostyrax hispidus
borstiger gewöhnlicher Dost	Origanum vulgare
borstiger gewöhnlicher Dost	Origanum vulgare subsp. hirtum
Borstiger Pippau	Crepis setosa
Borstiger Pippau	Crepis setosa Haller f.
Borstiger Schildfarn	Polystichum setiferum
Borstiger Schildfarn	Polystichum setiferum (Forssk.) T. Moore ex Woyn.
Borstiger Schildfarn	Polystichum setiferum (Forssk.) Woyn.
Borstiges Berufkraut	Erigeron annuus
Borstiges Berufkraut	Erigeron annuus subsp. strigosus (Willd.) Wagenitz
Borstiges Franzosenkraut	Galinsoga quadriradiata
Borstiges Franzosenkraut	Galinsoga quadriradiata Ruiz & Pav.
Borstiges Kletten-Labkraut	Galium spurium
Borstiges Kletten-Labkraut	Galium spurium subsp. vaillantii
Borstiges Salomonssiegel	Polygonatum latifolium
Böschungsmyrthe	Lonicera pileata
Bottendorfer Galmei-Grasnelke	Armeria maritima
Bottendorfer Galmei-Grasnelke	Armeria maritima subsp. bottendorfensis
Botteronis Bienen-Ragwurz	Ophrys apifera
Botteronis Bienen-Ragwurz	Ophrys apifera subsp. botteronii (Chodat) Hegi
Botterons Ragwurz	Ophrys apifera
Botterons Ragwurz	Ophrys apifera subsp. botteronii (Chodat) Hegi
Bouchés Milchstern	Ornithogalum boucheanum
Bouchés Milchstern	Ornithogalum boucheanum (Kunth) Asch.
Bouchons Amarant	Amaranthus bouchonii
Bouchons Bastard-Amarant	Amaranthus bouchonii
Bouchons Bastard-Amarant	Amaranthus bouchonii Thell.
Bouchons Fuchsschwanz	Amaranthus bouchonii
Bouchons Fuchsschwanz	Amaranthus bouchonii Thell.
Bougainvillea	Bougainvillea glabra
Bougainvillie	Bougainvillea glabra
Bourbon-Rose	Rosa x borboniana
Bozen-Anemone	Pulsatilla ×bolzanensis
Bozen-Anemone	Pulsatilla ×bolzanensis Murr
Bozen-Kuhschelle	Pulsatilla ×bolzanensis
Bozen-Kuhschelle	Pulsatilla ×bolzanensis Murr
Brabanter Löwenzahn	Taraxacum brabanticum
Brabanter Löwenzahn	Taraxacum brabanticum Hagend., Soest & Zevenb.
Brachen-Schotendotter	Erysimum repandum
Brachen-Schotendotter	Erysimum repandum L.
Brachen-Schöterich	Erysimum repandum
Brachen-Schöterich	Erysimum repandum L.
Brachsenkraut	Isoetes
Brachsenkrautartige	Isoetales
Brachsenkrautgewächse	Isoetaceae
Braeuckers Brombeere	Rubus braeuckeri
Braeuckers Brombeere	Rubus braeuckeri G. Braun
Braheapalme	Brahea spp.
Brahmi	Bacopa monnierii
Brand-Knabenkraut	Orchis ustulata
Brand-Knabenkraut	Orchis ustulata L.
Brandenburger Löwenzahn	Taraxacum brandenburgicum
Brandenburger Löwenzahn	Taraxacum brandenburgicum Hudziok
Bränderli	Nigritella rhellicani
Bränderli	Nigritella rhellicani aggr.
Bränderli	Nigritella rhellicani Teppner & E. Klein
Brandknabenkraut	Orchis ustulata
Brandknabenkraut	Orchis ustulata L.
Brandkraut	Phlomis fruticosa
Brandschopf	Celosia argentea
Brandschopf	Celosia argentea var. argentea
Brasilianische Ayahuasca-Liane	Banisteriopsis caapi
brasilianische Brechwurzel	Carapichea ipecacuanha
brasilianische Goldnarbe	Xanthosoma brasiliense
Brasilianische Guave	Feijoa sellowiana
Brasilianische Hirse	Paspalum dilatatum
Brasilianische Hirse	Paspalum dilatatum Poir.
brasilianische Justizie	Justicia carnea
brasilianische Kirschmyrte	Eugenia brasiliensis
brasilianische Luzerne	Stylosanthes guianensis
brasilianische Luzerne	Stylosanthes guianensis var. guianensis
Brasilianische Nadelpalme	Trithrinax brasiliensis
Brasilianische Nadelpalme	Trithrinax brasiliensis Mart.
brasilianischee Sauerklee	Oxalis debilis
brasilianischee Sauerklee	Oxalis debilis var. corymbosa
Brasilianischer Korallenstrauch	Erythrina crista-galli
brasilianischer Nachtschatten	Solanum seaforthianum
Brasilianischer Pfefferbaum	Schinus terebinthifolius
Brasilianischer Rotkelch	Erythrochiton brasiliensis
Brasilianischer Tabak	Nicotiana langsdorffii
Brasilianisches Tausendblatt	Myriophyllum aquaticum
Brasilianisches Tausendblatt	Myriophyllum aquaticum (Vell.) Verdc.
Brasiljasmin	Mandevilla sanderi
Brassicaceae	Kreuzblütler
Braun behaarter Adlerfarn	Pteridium aquilinum
Braun behaarter Adlerfarn	Pteridium aquilinum subsp. capense
Braun-Klee	Trifolium badium
Braun-Klee	Trifolium badium Schreb.
Braun-Segge	Carex nigra
braunblättriges Stachelnüsschen	Acaena microphylla
Braunblättriges Stachelnüßchen	Acaena microphylla
Braunblütige Hainsimse	Luzula alpinopilosa
Braunblütige Hainsimse	Luzula alpinopilosa subsp. alpinopilosa
Braunblütige Schwalbenwurz	Vincetoxicum fuscatum
Braunblütiges Dreiblatt	Trillium sessile
Braune Brombeere	Rubus fuscus
Braune Brombeere	Rubus fuscus auct.
Braune Brombeere	Rubus fuscus Weihe
Braune Hainsimse	Luzula alpinopilosa
Braune Hainsimse	Luzula alpinopilosa (Chaix) Breistr.
Braune Hainsimse	Luzula alpinopilosa agg.
Braune Nachtbaumnatter	Boiga irregularis
Braune Schnabelbinse	Rhynchospora fusca
Braune Schnabelbinse	Rhynchospora fusca (L.) Aiton
Braune Segge	Carex lurida
Braune Segge	Carex nigra
Braune Segge	Carex petriei
Braune Zyperbinse	Cyperus fuscus
Braune Zyperbinse	Cyperus fuscus L.
Braunelle	Prunella
Braunelle	Prunella grandiflora
Braunelle	Prunella laciniata
Braunelle	Prunella vulgaris
brauner Dost	Origanum vulgare
brauner Dost	Origanum vulgare subsp. vulgare
Brauner Klee	Trifolium badium
Brauner Klee	Trifolium spadiceum
Brauner Klee	Trifolium spadiceum L.
Brauner Moor-Klee	Trifolium spadiceum
Brauner Moor-Klee	Trifolium spadiceum L.
brauner Senf	Brassica juncea
brauner Senf	Brassica juncea subsp. juncea
Brauner Storchschnabel	Geranium phaeum
Brauner Storchschnabel	Geranium phaeum L.
Brauner Storchschnabel	Geranium phaeum L. s.l.
Brauner Storchschnabel	Geranium phaeum L. s.str.
Brauner Storchschnabel	Geranium phaeum subsp. phaeum
Brauner Streifenfarn	Asplenium trichomanes
Brauner Streifenfarn	Asplenium trichomanes L.
braunes Deckgras	Hyparrhenia rufa
Braunes Mönchskraut	Nonea erecta
Braunes Mönchskraut	Nonea erecta Bernh.
Braunes Mönchskraut	Nonea pulla
Braunes Pampasgras	Cortaderia fulvida
Braunes Schnabelried	Rhynchospora fusca
Braunes Schnabelried	Rhynchospora fusca (L.) W. T. Aiton
Braunes Tussockgras	Cortaderia fulvida
Braunes Zypergras	Cyperus fuscus
Braunes Zypergras	Cyperus fuscus L.
Braungrüner Streifenfarn	Asplenium adulterinum
Braungrüner Streifenfarn	Asplenium adulterinum Milde
Braungrünstieliger Streifenfarn	Asplenium adulterinum
Braungrünstieliger Streifenfarn	Asplenium adulterinum aggr.
Braungrünstieliger Streifenfarn	Asplenium adulterinum Milde
Braunhelm	Bartsia alpina
Braunhelm	Bartsia alpina L.
Braunkohl	Brassica oleracea
Braunkohl	Brassica oleracea var. sabellica
Bräunliche Segge	Carex brunnescens
Bräunliche Segge	Carex brunnescens (Pers.) Poir.
Bräunlicher Wegerich	Plantago atrata
Bräunlicher Wegerich	Plantago atrata subsp. fuscescens (Jord.) Pilg.
Braunrote Mäuse-Gerste	Hordeum murinum
Braunrote Mäuse-Gerste	Hordeum murinum subsp. leporinum
Braunrote Orchis	Orchis purpurea
Braunrote Orchis	Orchis purpurea Huds.
braunrote Schlauchpflanze	Sarracenia purpurea
Braunrote Ständelwurz	Epipactis atrorubens
Braunrote Stendelwurz	Epipactis atrorubens
Braunrote Stendelwurz	Epipactis atrorubens Besser
Braunrote Sumpfwurz	Epipactis atrorubens
Braunrote Sumpfwurz	Epipactis atrorubens Besser
braunrote Taglilie	Hemerocallis fulva
Braunrotes Knabenkraut	Orchis purpurea
Braunrotes Knabenkraut	Orchis purpurea Huds.
Braunrötliches Habichtskraut	Hieracium fuscescens
Braunrötliches Habichtskraut	Hieracium fuscescens (Nägeli & Peter) Zahn
Brauns Nachtkerze	Oenothera braunii
Brauns Schildfarn	Polystichum braunii
Brauns Schildfarn	Polystichum braunii (Spenn.) Fée
Braunstieliger Streifenfarn	Asplenium trichomanes
Braunstieliger Streifenfarn	Asplenium trichomanes L.
Braunstieliger Streifenfarn	Asplenium trichomanes subsp. trichomanes
Braunwurz	Scrophularia
Braunwurz	Scrophularia macrantha
Braunwurzgewächse	Scrophulariaceae
Braut-Myrte	Myrtus communis
Braut-Myrte	Myrtus communis L.
Braut-Spierstrauch	Spiraea ×arguta
Braut-Spierstrauch	Spiraea ×arguta Zabel
Brautprimel	Primula malacoides
Brech-Teufelspfeffer	Rauvolfia vomitoria
Brechnuß	Strychnos nux-vomica
Brechnussgewächse	Loganiaceae
Brechnußgewächse	Loganiaceae
Brechteufelspfeffer	Rauvolfia vomitoria
Brechwurzel	Carapichea ipecacuanha
Brechwurzel	Cephaelis ipecacuanha
Brechwurzelbaum	Cephaelis acuminata
Bregenzer Brombeere	Rubus bregutiensis
Bregenzer Brombeere	Rubus bregutiensis A. Kern. ex Focke
Breiapfelbaum	Manilkara zapota
Breiblättriger Gewürz-Salbei	Salvia officinalis
Breiblättriger Gewürz-Salbei	Salvia officinalis 'Berggarten'
Breit-Wegerich	Plantago major
Breit-Wegerich	Plantago major L.
Breit-Wegerich	Plantago major L. s.l.
Breit-Wegerich	Plantago major subsp. major
Breitblatt-Chinaschilf	Miscanthus oligostachyus
Breitblättrige Bartsie	Parentucellia latifolia
Breitblättrige Bastard-Mehlbeere	Sorbus latifolia
Breitblättrige Bastard-Mehlbeere	Sorbus latifolia (Lam.) Pers. s. str.
Breitblättrige Bastardmehlbeere	Sorbus latifolia
Breitblättrige Bastardmehlbeere	Sorbus latifolia (Lam.) Pers. s. str.
Breitblättrige Fingerwurz	Dactylorhiza majalis
Breitblättrige Fingerwurz	Dactylorhiza majalis (Rchb.) P. F. Hunt & Summerh.
Breitblättrige Glockenblume	Campanula latifolia
Breitblättrige Glockenblume	Campanula latifolia L.
Breitblättrige Glockenblume	Campanula latifolia var. macrantha
Breitblättrige Grasnelke	Armeria pseudarmeria
Breitblättrige Haftdolde	Turgenia latifolia
Breitblättrige Haftdolde	Turgenia latifolia (L.) Hoffm.
Breitblättrige Iresine	Iresine herbstii
Breitblättrige Klebalant	Dittrichia viscosa
Breitblättrige Klebalant	Dittrichia viscosa (L.) Greuter
Breitblättrige Klettendolde	Turgenia latifolia
Breitblättrige Klettendolde	Turgenia latifolia (L.) Hoffm.
breitblättrige Kresse	Lepidium latifolium
Breitblättrige Kresse	Lepidium latifolium L.
Breitblättrige Krötenlilie	Tricyrtis latifolia
Breitblättrige Lichtnelke	Silene latifolia
Breitblättrige Lorbeerrose	Kalmia latifolia
Breitblättrige Mehlbeere	Sorbus latifolia
breitblättrige Minze	Mentha x villosa
Breitblättrige Platterbse	Lathyrus latifolius
Breitblättrige Platterbse	Lathyrus latifolius L.
Breitblättrige Platterbse	Lathyrus linifolius
Breitblättrige Platterbse	Lathyrus linifolius (Reichard) Bässler
Breitblättrige Primel	Primula latifolia
Breitblättrige Primel	Primula latifolia Lapeyr.
Breitblättrige Schlüsselblume	Primula viscosa
Breitblättrige Ständelwurz	Epipactis helleborine
Breitblättrige Ständelwurz	Epipactis helleborine subsp. helleborine
Breitblättrige Steinlinde	Phillyrea latifolia
Breitblättrige Steinlinde	Phillyrea latifolia L.
Breitblättrige Stendelwurz	Epipactis helleborine
Breitblättrige Stendelwurz	Epipactis helleborine (L.) Crantz s. str.
Breitblättrige Stendelwurz	Epipactis helleborine agg.
Breitblättrige Stendelwurz	Epipactis helleborine aggr.
Breitblättrige Sumpfwurz	Epipactis helleborine
Breitblättrige Sumpfwurz	Epipactis helleborine aggr.
Breitblättrige Sumpfwurz	Epipactis helleborine sensu Aeschimann & Burdet
Breitblättrige Turgenie	Turgenia latifolia
Breitblättrige Turgenie	Turgenia latifolia (L.) Hoffm.
breitblättrige Wald-Glockenblume	Campanula latifolia
Breitblättrige Wald-Glockenblume	Campanula latifolia var. macrantha
Breitblättrige Wald-Platterbse	Lathyrus sylvestris
Breitblättrige Wald-Platterbse	Lathyrus sylvestris subsp. platyphyllos
Breitblättrige Waldrebe	Clematis heracleifolia
Breitblättrige Weißwurz	Polygonatum latifolium
breitblättrige Wolfsmilch	Euphorbia platyphyllos
Breitblättrige Wolfsmilch	Euphorbia platyphyllos L.
Breitblättriger Dornfarn	Dryopteris dilatata
Breitblättriger Dornfarn	Dryopteris dilatata (Hoffm.) A. Gray
Breitblättriger Ehrenpreis	Veronica urticifolia
Breitblättriger Ehrenpreis	Veronica urticifolia Jacq.
Breitblättriger Haken-Löwenzahn	Taraxacum hamiferum
Breitblättriger Haken-Löwenzahn	Taraxacum hamiferum Dahlst.
Breitblättriger Hakenlöwenzahn	Taraxacum hamiferum
Breitblättriger Hakenlöwenzahn	Taraxacum hamiferum Dahlst.
Breitblättriger Hohlzahn	Galeopsis ladanum
Breitblättriger Hohlzahn	Galeopsis ladanum agg.
Breitblättriger Hohlzahn	Galeopsis ladanum L.
Breitblättriger Lavendel	Lavandula latifolia
Breitblättriger Löwenzahn	Taraxacum latissimum
Breitblättriger Löwenzahn	Taraxacum latissimum Palmgr.
Breitblättriger Mehlbaum	Sorbus ×latifolia
Breitblättriger Mehlbaum	Sorbus ×latifolia (Lam.) Pers.
Breitblättriger Mehlbeerbaum	Sorbus ×latifolia
Breitblättriger Mehlbeerbaum	Sorbus ×latifolia (Lam.) Pers.
Breitblättriger Mehlbeerbaum	Sorbus latifolia
Breitblättriger Mehlbeerbaum	Sorbus latifolia (Lam.) Pers.
Breitblättriger Merk	Sium latifolium
Breitblättriger Rohrkolben	Typha latifolia
Breitblättriger Rohrkolben	Typha latifolia L.
Breitblättriger Sonnentau	Drosera ×obovata
Breitblättriger Sonnentau	Drosera ×obovata Mert. & W. D. J. Koch
Breitblättriger Spindelstrauch	Euonymus latifolius
Breitblättriger Spindelstrauch	Euonymus latifolius (L.) Mill.
breitblättriger Steppenschleier	Limonium gerberi
Breitblättriger Steppenschleier	Limonium latifolium
Breitblättriger Vogel-Knöterich	Polygonum aviculare
Breitblättriger Vogel-Knöterich	Polygonum aviculare subsp. aviculare
Breitblättriger Vogel-Knöterich	Polygonum aviculare subsp. aviculare L.
Breitblättriger Vogelknöterich	Polygonum aviculare
Breitblättriger Vogelknöterich	Polygonum aviculare subsp. aviculare L.
Breitblättriger Wasserreis	Zizania latifola
Breitblättriger Wasserreis	Zizania latifola L.
Breitblättriger Wurmfarn	Dryopteris dilatata
Breitblättriger Zier-Lauch	Allium senescens
Breitblättriger Zier-Lauch	Allium senescens ssp. glaucum
Breitblättriges Echtes Johanniskraut	Hypericum perforatum
Breitblättriges Echtes Johanniskraut	Hypericum perforatum var. latifolium
Breitblättriges Fingerknabenkraut	Dactylorhiza majalis
Breitblättriges Habichtskraut	Hieracium platyphyllum
Breitblättriges Hornkraut	Cerastium latifolium
Breitblättriges Hornkraut	Cerastium latifolium L.
Breitblättriges Knabenkraut	Dactylorhiza fistulosa
Breitblättriges Knabenkraut	Dactylorhiza fistulosa (Moench) H. Baumann & Künkele
Breitblättriges Knabenkraut	Dactylorhiza majalis
Breitblättriges Knabenkraut	Dactylorhiza majalis (Rchb.) Hunt & Summerh. s. str.
Breitblättriges Knabenkraut	Dactylorhiza majalis (Rchb.) P. F. Hunt & Summerh.
Breitblättriges Knabenkraut	Dactylorhiza majalis agg.
Breitblättriges Laserkraut	Laserpitium latifolium
Breitblättriges Laserkraut	Laserpitium latifolium L.
Breitblättriges Löwenmaul	Antirrhinum latifolium
Breitblättriges Löwenmaul	Antirrhinum latifolium Mill.
Breitblättriges Pfaffenhütchen	Euonymus latifolia
Breitblättriges Pfaffenhütchen	Euonymus latifolius
Breitblättriges Pfaffenhütchen	Euonymus latifolius (L.) Mill.
Breitblättriges Pfaffenhütchen	Euonymus latifolius (L.) Miller
Breitblättriges Pfeilkraut	Sagittaria latifolia
Breitblättriges Pfeilkraut	Sagittaria latifolia Willd.
Breitblättriges Plattährengras	Chasmanthium latifolium
Breitblättriges Wollgras	Eriophorum latifolium
Breitblättriges Wollgras	Eriophorum latifolium Hoppe
Breitbogige Brombeere	Rubus latiarcuatus
Breitbogige Brombeere	Rubus latiarcuatus W. C. R. Watson
breiter Wurmfarn	Dryopteris dilatata
Breiter Wurmfarn	Dryopteris dilatata (Hoffm.) A. Gray
Breiter Wurmfarn	Dryopteris dilatata aggr.
Breitfrüchtige Strandbinse	Bolboschoenus laticarpus
Breitfrüchtige Strandbinse	Bolboschoenus laticarpus Marhold & al.
Breitgestreifter Löwenzahn	Taraxacum fusciflorum
Breitgestreifter Löwenzahn	Taraxacum fusciflorum H. Øllg.
Breitherzförmiger Löwenzahn	Taraxacum laticordatum
Breitherzförmiger Löwenzahn	Taraxacum laticordatum Markl.
Breithorniger Stachelmohn	Argemone platyceras
Breithüllblättrige Kratzdistel	Cirsium eriophorum
Breithüllblättrige Kratzdistel	Cirsium eriophorum subsp. spathulatum (Moretti) Ces.
Breitköpfige Brombeere	Rubus platycephalus
Breitköpfige Brombeere	Rubus platycephalus Focke
Breitrispige Haselblatt-Brombeere	Rubus sprengeliusculus
Breitrispige Haselblatt-Brombeere	Rubus sprengeliusculus (Frid. & Gelert) H. E. Weber
Breitrispige Haselblattbrombeere	Rubus sprengeliusculus
Breitrispige Haselblattbrombeere	Rubus sprengeliusculus (Frid. & Gelert) H. E. Weber
Breitsame	Orlaya
Breitsame	Orlaya grandiflora
Breitsame	Orlaya grandiflora (L.) Hoffm.
Breitschnittiger Löwenzahn	Taraxacum latisectum
Breitschnittiger Löwenzahn	Taraxacum latisectum H. Lindb.
Breitschuppige Distel	Carduus nutans
Breitschuppige Distel	Carduus nutans subsp. platylepis (Rchb. & Saut.) Nyman
Breitschuppige Nickende Distel	Carduus nutans
Breitschuppige Nickende Distel	Carduus nutans subsp. platylepis
Breitschuppige Nickende Distel	Carduus nutans subsp. platylepis (Rchb. & Saut.) Nyman
Breitschuppiges Habichtskraut	Hieracium hypeuryum
Breitschuppiges Habichtskraut	Hieracium hypeuryum Peter
Breitstachelige Brombeere	Rubus platyacanthus
