Drachen-Weide	Salix udensis f. sekka
Drachenbaum	Dracaena draco
Dreh-Kiefer	Pinus contorta
Dreilappiger Apfel	Malus trilobata
Dreizähniger Ahorn	Acer buergerianum
Drummonds Spitz-Ahorn	Acer platanoides f. drummondii
Duftender Schneeball	Viburnum farreri
Eberesche	Sorbus aucuparia
Echte Dattelpalme	Phoenix dactylifera
Echte Mehlbeere	Sorbus aria
Echte Quitte	Cydonia oblonga
Echte Walnuss	Juglans regia
Echte Weinrebe	Vitis vinifera
Echter Feigenbaum	Ficus carica
Echter Gewürzstrauch	Calycanthus floridus
Echter Hopfen	Humulus lupulus
Echter Storaxbaum	Styrax officinalis
Echter Thymian	Thymus vulgaris
Echter Wermut	Artemisia absinthum
Echtes Geißblatt	Lonicera caprifolium
Edel-Tanne	Abies procera
Eichblatt-Hortensie	Hydrangea quercifolia
Eichenblättrige Buche	Fagus sylvatica f. quercifolia
Eichenblättrige Hainbuche	Carpinus betulus 'Quercifolia'
Einblatt-Esche	Fraxinus excelsior f. diversifolia
Eingriffeliger Weißdorn	Crataegus monogyna
Elsbeere	Sorbus torminalis
Engelmanns Fichte	Picea engelmanii
Erlenblättrige Birke	Betula alnoides subsp. alnoides
Erlenblättrige Mehlbeere	Sorbus alnifolia
Erlenblättrige Zimterle	Clethra alnifolia
Erlenblättriger Schneeball	Viburnum lantanoides
Eschen-Ahorn	Acer negundo
Ess-Kastanie	Castanea sativa
Essig-Baum	Rhus typhina
Essig-Rose	Rosa gallica
Etruskisches Geißblatt	Lonicera etrusca
Europäische Lärche	Larix decidua
Fächer-Ahorn	Acer palmatum
Fächer-Zwergmispel	Cotoneaster horizontalis
Fadenblatt-Eiche	Quercus petraea 'Laciniata Crispa'
Färber-Eiche	Quercus velutina
Farnblättrige Buche	Fagus sylvatica 'Asplenifolia'
Feld-Ahorn	Acer campestre
Feld-Ulme	Ulmus minor
Felderbach-Buche	Fagus sylvatica 'Felderbach'
Felsen-Ahorn	Acer monspessulanum
Felsen-Gebirgstanne	Abies lasiocarpa
Felsen-Johannisbeere	Ribes petraeum
Felsen-Kirsche	Prunus mahaleb
Felsen-Kreuzdorn	Rhamnus saxatilis
Felsengebirgs-Wacholder	Juniperus scopulorum
Fenchelholzbaum	Sassafras albidum
Feuer-Ahorn	Acer tataricum subsp. ginnala
Feuerdorn	Pyracantha coccinea
Fiederblatt-Weißdorn	Crataegus pinnatifida
Filz-Rose	Rosa tomentosa
Fingerstrauch	Dasiphora fruticosa
Flammenbaum	Delonix regia
Flatter-Ulme	Ulmus laevis
Flaum-Eiche	Quercus pubescens
Flockige Zwergmispel	Cotoneaster floccosus
Florettseidenbaum	Ceiba speciosa
Flügel-Spindelstrauch	Euonymus alatus
Forsythie	Forsythia x intermedia
Frangipani	Plumeria rubra
Französische Hybrid-Säckelblume	Ceanothus x delilianus
Fruchtbarer Gewürzstrauch	Calycanthus fertilis
Frühblühende Prachtglocke	Enkianthus perulatus
Frühlings-Tamariske	Tamarix parviflora
Fuji-Kirsche	Prunus incisa
Garten-Hortensie	Hydrangea macrophylla
Gefüllter Gewöhnlicher Schneeball	Viburnum opulus f. roseum
Gefüllter Japanischer Schneeball	Viburnum plicatum f. sterile
Gelb-Birke	Betula alleghaniensis
Gelb-Kiefer	Pinus ponderosa
Gelbe Trompetenblume	Tecoma stans
Gelber Flammenbaum	Peltophorum pterocarpum
Gelber Sommerflieder	Buddleja x weyeriana
Gelber Trompetenbaum	Catalpa ovata
Gelbrinden-Akazie	Vachellia xanthophloea
Gemeine Buche	Fagus sylvatica
Gemeine Eibe	Taxus baccata
Gemeine Esche	Fraxinus excelsior
Gemeine Felsenbirne	Amelanchier ovalis
Gemeine Hasel	Corylus avellana
Gemeine Myrte	Myrtus communis
Gemeine Rosskastanie	Aesculus hippocastanum
Gemeine Schneebeere	Symphoricarpos albus
Gemeine Trauben-Kirsche	Prunus padus
Gemeiner Bocksdorn	Lycium barbarum
Gemeiner Faulbaum	Frangula alnus
Gemeiner Schneeball	Viburnum opulus
Gemeiner Wacholder	Juniperus communis
Gemeines Pfaffenhütchen	Euonymus europaeus
Gerippte Birke	Betula costata
Geschlitzter Spitz-Ahorn	Acer platanoides 'palmatifidum'
Geschwänzter Ahorn	Acer caudatum subsp. caudatum
Geweihbaum	Gymnocladus dioicus
Gewöhnliche Berberitze	Berberis vulgaris
Gewöhnliche Jungfernrebe	Parthenocissus inserta
Gewöhnliche Mahonie	Mahonia aquifolium
Gewöhnliche Waldrebe	Clematis vitalba
Gewöhnliche Zwergmispel	Cotoneaster integerrimus
Gewöhnlicher Bastardindigo	Amorpha fructicosa
