aboriginal willowherb	Epilobium billardierianum Ser. ssp. cinereum (A. Rich.) P.H. Raven & Engelhorn
Abraham-Isaac-Jacob	Trachystemon orientalis
Abrams' allium	Allium abramsii (Ownbey & Aase) McNeal
Abrams' liveforever	Dudleya abramsii Rose
Abrams' liveforever	Dudleya abramsii Rose ssp. abramsii
Abrams' lupine	Lupinus abramsii C.P. Sm.
Abrams' oxytheca	Oxytheca parishii Parry var. abramsii (McGregor) Munz
Abrams' sandmat	Chamaesyce abramsiana (L.C. Wheeler) Koutnik
Abrams' woollystar	Eriastrum abramsii (Elmer) H. Mason
abrasin-oil-tree	Vernicia montana
abrojo colorado	Krameria ixine L.
abrothallus lichen	Abrothallus De Not.
abruptbeak sedge	Carex abrupta Mack.
abrupttip maiden fern	Thelypteris augescens (Link) Munz & I.M. Johnst.
abrus	Abrus Adans.
Absaroka Range beardtongue	Penstemon absarokensis Evert
absconditella lichen	Absconditella Vezda
absinthe	Artemisia absinthium
absinthe wormwood	Artemisia absinthium
absinthium	Artemisia absinthium
absinthium	Artemisia absinthium L.
abutilon	Abutilon indicum
abutilon	Abutilon megapotamicum
abutilon-hemp	Abutilon theophrasti
abyss	Sinningia canescens
Abyssinia entada	Entada abyssinica Steud. ex A. Rich.
Abyssinia oxytenanthera	Oxytenanthera abyssinica (A. Rich.) Munro
Abyssinian bamboo	Oxytenanthera abyssinica (A. Rich.) Munro
Abyssinian banana	Ensete ventricosum (Welw.) Cheeseman
Abyssinian Banana	Musa ensete
Abyssinian cabbage	Brassica carinata
Abyssinian finger grass	Digitaria abyssinica
Abyssinian love grass	Eragrostis tef
Abyssinian mustard	Brassica carinata
Abyssinian Mustard	Crambe abyssinica
Abyssinian myrrh	Commiphora habessinica
Abyssinian myrrh	Commiphora habessinica (Berg) Engl.
Abyssinian oat	Avena abyssinica
Abyssinian oat	Avena abyssinica Hochst.
Abyssinian pea	Pisum abyssinicum
Abyssinian Rhodes grass	Chloris gayana
Abyssinian-banana	Ensete ventricosum
Abyssinian-kale	Crambe hispanica subsp. abyssinica
acacia	Acacia ampliceps Maslin
acacia	Acacia ataxacantha
acacia	Acacia auriculiformis
acacia	Acacia baileyana
acacia	Acacia glauca (L.) Moench
acacia	Acacia koa
acacia	Acacia latifolia
acacia	Acacia leucophloea
acacia	Acacia ligulata Benth.
acacia	Acacia melanoxylon
acacia	Acacia Mill.
acacia	Acacia paradoxa
acacia	Acacia pendula
acacia	Acacia podalyriifolia
acacia	Acacia rehmanniana Schinz
acacia	Acacia sclerosperma F. Muell.
acacia	Acacia sophorae (Labill.) R. Br.
acacia	Acacia victoriae
acacia	Acaciella angustissima
acacia	Faidherbia A. Chev.
acacia	Gleditsia triacanthos
acacia	Pentaclethra macrophylla
acacia	Robinia pseudoacacia
acacia	Senegalia berlandieri
acacia	Senegalia greggii
acacia	Senegalia senegal
acacia	Vachellia farnesiana
acacia fringedfern	Lomariopsis sorbifolia (L.) Fée
acacia-bush	Acacia victoriae
acacia-hedge	Acacia paradoxa
acacia-tree	Albizia lebbeck
Acadia dogwood	Cornus x acadiensis Fernald
Acadian quillwort	Isoetes acadiensis Kott
acaena	Acaena Mutis ex L.
acalypha	Acalypha indica
acanthus	Acanthus ebracteatus Vahl
acanthus	Acanthus L.
acanthus	Acanthus mollis
Acapulco grass	Bouteloua dimorpha J.T. Columbus
acaulon moss	Acaulon Müll. Hal.
acaulon moss	Acaulon muticum (Hedw.) Müll. Hal.
acaulon moss	Acaulon muticum (Hedw.) Müll. Hal. var. muticum
acaulon moss	Acaulon muticum (Hedw.) Müll. Hal. var. rufescens (A. Jaeger) H.A. Crum
acaulon moss	Acaulon triquetrum (Spruce) Müll. Hal.
Accra copal	Daniellia ogea
aceitillo	Pilocarpus racemosus Vahl
aceitillo falso	Simarouba tulae Urb.
aceitunilla	Symplocos micrantha Krug & Urb.
acerola	Malpighia emarginata
Acevedo's velvetshrub	Piptocoma acevedoi Pruski
acha	Digitaria iburua
achacha	Garcinia gardneriana
Achar's graphina lichen	Graphina acharii (Fée) Müll. Arg.
achicoria azul	Launaea intybacea (Jacq.) P. Beauv.
achiotillo	Alchornea latifolia Sw.
achlys	Achlys DC.
achocha	Cyclanthera pedata
achotillo	Caryocar amygdaliferum Mutis
achyronychia	Achyronychia Torr. & A. Gray
acicarpha	Acicarpha Juss.
acid-loving sedge	Carex acidicola Naczi
acidanthera	Acidanthera Hochst.
acidanthera	Gladiolus murielae
acidswamp yelloweyed grass	Xyris serotina Chapm.
acinos	Acinos Mill.
acisanthera	Acisanthera P. Br.
Ackerman's milkvetch	Astragalus ackermanii Barneby
acnistus	Acnistus Schott
aconite	Aconitum carmichaelii
aconite	Aconitum columbianum
aconite	Aconitum ferox
aconite	Aconitum napellus
aconite	Eranthis hyemalis
acorn banksia	Banksia prionotes
acorn buckwheat	Eriogonum glandulosum (Nutt.) Nutt. ex Benth.
